mean,var,shape,scale
1e-10,1e-10,1e-10,1.0
1e-10,0.0001002005006012024,9.979990059929902e-17,1002005.006012024
1e-10,0.00020040090120240482,4.989997519971233e-17,2004009.0120240483
1e-10,0.0003006013018036072,3.326665566649253e-17,3006013.0180360717
1e-10,0.0004008017024048096,2.494999382487653e-17,4008017.024048096
1e-10,0.0005010021030060121,1.995999605590478e-17,5010021.030060121
1e-10,0.0006012025036072144,1.6633330599922672e-17,6012025.036072144
1e-10,0.0007014029042084169,1.42571408529962e-17,7014029.042084169
1e-10,0.0008016033048096193,1.2474998468693938e-17,8016033.048096193
1e-10,0.0009018037054108217,1.108888768143223e-17,9018037.054108217
1e-10,0.0010020041060120242,9.979999023956095e-18,10020041.060120242
1e-10,0.0011022045066132265,9.072726467728997e-18,11022045.066132264
1e-10,0.0012024049072144288,8.316665991630612e-18,12024049.072144289
1e-10,0.0013026053078156314,7.676922502925486e-18,13026053.078156313
1e-10,0.0014028057084168337,7.1285709346633e-18,14028057.084168335
1e-10,0.0015030061090180362,6.653332903971583e-18,15030061.090180362
1e-10,0.0016032065096192386,6.2374996234109604e-18,16032065.096192384
1e-10,0.0017034069102204409,5.8705879023972515e-18,17034069.10220441
1e-10,0.0018036073108216434,5.544444148124708e-18,18036073.108216435
1e-10,0.0019038077114228457,5.252631313551261e-18,19038077.114228457
1e-10,0.0020040081120240483,4.989999760979011e-18,20040081.120240483
1e-10,0.0021042085126252506,4.752380736034477e-18,21042085.126252506
1e-10,0.002204408913226453,4.536363439650422e-18,22044089.13226453
1e-10,0.0023046093138276553,4.3391302551803484e-18,23046093.13827655
1e-10,0.0024048097144288576,4.158333168732646e-18,24048097.144288573
1e-10,0.0025050101150300604,3.9919998486233655e-18,25050101.150300603
1e-10,0.0026052105156312627,3.838461398800597e-18,26052105.156312626
1e-10,0.002705410916232465,3.696296167062831e-18,27054109.16232465
1e-10,0.0028056113168336673,3.564285594372964e-18,28056113.16833667
1e-10,0.0029058117174348697,3.4413791987966747e-18,29058117.174348697
1e-10,0.0030060121180360724,3.3266665626528923e-18,30060121.180360723
1e-10,0.0031062125186372747,3.2193547415059345e-18,31062125.186372746
1e-10,0.003206412919238477,3.118749908971487e-18,32064129.19238477
1e-10,0.0033066133198396794,3.0242423388304894e-18,33066133.198396794
1e-10,0.0034068137204408817,2.935294037358134e-18,34068137.20440882
1e-10,0.0035070141210420845,2.8514284958249814e-18,35070141.21042085
1e-10,0.003607214521643287,2.7722221509145082e-18,36072145.21643287
1e-10,0.003707414922244489,2.6972972299377666e-18,37074149.22244489
1e-10,0.0038076153228456915,2.6263157257509713e-18,38076153.228456914
1e-10,0.003907815723446894,2.5589742986088115e-18,39078157.23446894
1e-10,0.004008016124048096,2.4949999427397518e-18,40080161.24048096
1e-10,0.0041082165246492984,2.434146287081025e-18,41082165.24649298
1e-10,0.004208416925250501,2.376190424480047e-18,42084169.252505004
1e-10,0.004308617325851703,2.32093018333283e-18,43086173.25851703
1e-10,0.004408817726452905,2.2681817712716956e-18,44088177.26452905
1e-10,0.004509018127054108,2.217777733027952e-18,45090181.27054108
1e-10,0.00460921852765531,2.1695651746603038e-18,46092185.2765531
1e-10,0.004709418928256512,2.1234042144775026e-18,47094189.282565124
1e-10,0.004809619328857715,2.079166627595661e-18,48096193.28857715
1e-10,0.004909819729458918,2.036734656468139e-18,49098197.29458918
1e-10,0.00501002013006012,1.995999964151841e-18,50100201.3006012
1e-10,0.0051102205306613226,1.9568627107186474e-18,51102205.30661322
1e-10,0.005210420931262525,1.919230736234764e-18,52104209.312625244
1e-10,0.005310621331863727,1.8830188362329663e-18,53106213.31863727
1e-10,0.0054108217324649295,1.8481481176879296e-18,54108217.3246493
1e-10,0.005511022133066132,1.814545425248794e-18,55110221.33066132
1e-10,0.005611222533667334,1.782142828946812e-18,56112225.33667334
1e-10,0.0057114229342685365,1.7508771658285017e-18,57114229.342685364
1e-10,0.005811623334869739,1.720689629006065e-18,58116233.34869739
1e-10,0.005911823735470942,1.6915253984992823e-18,59118237.35470942
1e-10,0.006012024136072144,1.6633333089932227e-18,60120241.36072144
1e-10,0.006112224536673347,1.6360655502755178e-18,61122245.36673346
1e-10,0.006212424937274549,1.6096773966635802e-18,62124249.37274549
