mean,var,beta_alpha,beta_beta,beta_feasible
0.002004008116,1e-10,40080.00134,19959839.67,True
0.002004008116,0.0002004009014,0.01799590359,8.961959542,True
0.002004008116,0.0004008017028,0.007995950234,3.981983018,True
0.002004008116,0.0006012025042,0.004662631338,2.321990291,True
0.002004008116,0.0008016033056,0.002995971683,1.491993824,True
0.002004008116,0.001002004107,0.001995975823,0.9939959101,True
0.002004008116,0.001202404908,0.001329311888,0.6619972874,True
0.002004008116,0.00140280571,0.0008531233504,0.4248554073,True
0.002004008116,0.001603206511,0.0004959819394,0.2469989935,True
0.002004008116,0.001803607313,0.000218205282,0.108666225,True
0.004008016132,1e-10,159998.0736,39759520.31,True
0.004008016132,0.0002004009014,0.07583098486,18.84399927,True
0.004008016132,0.0004008017028,0.03591149432,8.924006117,True
0.004008016132,0.0006012025042,0.02260499305,5.617340633,True
0.004008016132,0.0008016033056,0.01595174159,3.964007685,True
0.004008016132,0.001002004107,0.01195979044,2.97200785,True
0.004008016132,0.001202404908,0.009298489567,2.3106746,True
0.004008016132,0.00140280571,0.007397560317,1.838293693,True
0.004008016132,0.001603206511,0.00597186335,1.484008005,True
0.004008016132,0.001803607313,0.004862987913,1.208452466,True
0.004008016132,0.002004008114,0.003975887553,0.9880080323,True
0.004008016132,0.002204408915,0.00325007816,0.8076444026,True
0.004008016132,0.002404809717,0.002645236994,0.6573413767,True
0.004008016132,0.002605210518,0.002133448312,0.5301618923,True
0.004008016132,0.00280561132,0.001694772296,0.421150905,True
0.004008016132,0.003006012121,0.001314586413,0.3266747156,True
0.004008016132,0.003206412922,0.0009819237646,0.2440080494,True
0.004008016132,0.003406813724,0.000688397897,0.1710668731,True
0.004008016132,0.003607214525,0.0004274860138,0.1062302718,True
0.004008016132,0.003807615327,0.0001940385385,0.04821857563,True
0.006012024147,1e-10,359271.3254,59399524.81,True
0.006012024147,0.0002004009014,0.1732642809,28.64636064,True
0.006012024147,0.0004008017028,0.08362615076,13.82619003,True
0.006012024147,0.0006012025042,0.05374676409,8.886131515,True
0.006012024147,0.0008016033056,0.0388070689,6.416101951,True
0.006012024147,0.001002004107,0.02984325118,4.934084113,True
0.006012024147,0.001202404908,0.02386737246,3.946072181,True
0.006012024147,0.00140280571,0.01959888753,3.240349351,True
0.006012024147,0.001603206511,0.01639752377,2.711057219,True
0.006012024147,0.001803607313,0.01390757414,2.299385553,True
0.006012024147,0.002004008114,0.01191561441,1.970048217,True
