mean,var,mu,sigma
1e-10,1e-10,-34.538776394960685,4.798525912198501
1e-10,1.002013987975952e-05,-40.29624510870634,5.877141172162854
1e-10,2.004017975951904e-05,-40.64281620400493,5.935817597275792
1e-10,3.006021963927856e-05,-40.845547926395795,5.96987386742054
1e-10,4.008025951903808e-05,-40.98938854678955,5.993919855461715
1e-10,5.0100299398797595e-05,-41.10096007294721,6.012505158917829
1e-10,6.012033927855712e-05,-41.192120685011155,6.027647925197805
1e-10,7.014037915831663e-05,-41.26919590611544,6.04042133897545
1e-10,8.016041903807615e-05,-41.335961513320676,6.051464382012046
1e-10,9.018045891783567e-05,-41.3948529618434,6.061188337595679
1e-10,0.00010020049879759518,-41.44753316422792,6.069873513391768
1e-10,0.0001102205386773547,-41.49518820876649,6.077719519495126
1e-10,0.00012024057855711423,-41.538693859458306,6.084873528598249
1e-10,0.00013026061843687375,-41.57871518130792,6.0914471599723266
1e-10,0.00014028065831663328,-41.61576913996721,6.097527074155023
1e-10,0.00015030069819639279,-41.650265551948806,6.103181895045951
1e-10,0.00016032073807615232,-41.682534791725935,6.108466888145581
1e-10,0.00017034077795591185,-41.712847084288576,6.113427214639612
1e-10,0.00018036081783567135,-41.74142627490137,6.118100251705738
1e-10,0.00019038085771543088,-41.768459870945875,6.122517283112464
1e-10,0.0002004008975951904,-41.794106505008074,6.126704754607915
1e-10,0.00021042093747494992,-41.81850157521184,6.130685221942387
1e-10,0.00022044097735470942,-41.84176157222843,6.134478077601708
1e-10,0.00023046101723446895,-41.86398744365219,6.138100115461091
1e-10,0.00024048105711422848,-41.88526724182174,6.141565974876649
1e-10,0.00025050109699398796,-41.905678230765204,6.144888493833674
1e-10,0.00026052113687374747,-41.92528857966492,6.148078992616225
1e-10,0.000270541176753507,-41.94415873654809,6.151147503776451
1e-10,0.00028056121663326653,-41.96234255203299,6.154102960154719
1e-10,0.00029058125651302603,-41.979888205793316,6.156953349807493
1e-10,0.00030060129639278554,-41.99683897589552,6.159705844592754
1e-10,0.0003106213362725451,-42.01323388194143,6.162366907609603
1e-10,0.0003206413761523046,-42.02910822606847,6.164942383530931
1e-10,0.0003306614160320641,-42.04449405067648,6.167437574995959
1e-10,0.00034068145591182366,-42.05942052780391,6.169857307566107
1e-10,0.00035070149579158316,-42.07391429204725,6.172205985238469
1e-10,0.00036072153567134267,-42.08799972657029,6.174487638117
1e-10,0.00037074157555110217,-42.101699209918095,6.176705963533903
1e-10,0.00038076161543086173,-42.115033329910105,6.178864361671916
1e-10,0.00039078165531062124,-42.12802106974466,6.180965966546686
1e-10,0.00040080169519038074,-42.14067997053809,6.183013673055823
1e-10,0.0004108217350701403,-42.153026273790594,6.185010160678822
1e-10,0.0004208417749498998,-42.16507504668233,6.186957914313282
1e-10,0.0004308618148296593,-42.17684029262442,6.188859242652714
1e-10,0.0004408818547094188,-42.18833504909935,6.190716294445884
1e-10,0.00045090189458917837,-42.19957147450518,6.192531072924013
1e-10,0.00046092193446893787,-42.21056092545393,6.194305448638044
1e-10,0.0004709419743486974,-42.22131402575637,6.196041170911619
1e-10,0.00048096201422845693,-42.23184072814341,6.197739878085067
1e-10,0.0004909820541082164,-42.242150369623175,6.199403106700308
1e-10,0.000501002093987976,-42.2522517212452,6.201032299755379
1e-10,0.0005110221338677356,-42.262153032936425,6.202628814139368
1e-10,0.000521042173747495,-42.271862073983385,6.204193927343491
1e-10,0.0005310622136272546,-42.281386169658134,6.2057288435312215
1e-10,0.0005410822535070141,-42.29073223442067,6.207234699039535
1e-10,0.0005511022933867736,-42.29990680207464,6.208712567374041
1e-10,0.0005611223332665331,-42.30891605320585,6.210163463752849
1e-10,0.0005711423731462927,-42.317765840192266,6.211588349247205
1e-10,0.0005811624130260521,-42.32646171003883,6.212988134561077
1e-10,0.0005911824529058117,-42.33500892526026,6.214363683486798
1e-10,0.0006012024927855711,-42.34341248300885,6.21571581606952
1e-10,0.0006112225326653307,-42.35167713262106,6.217045311509416
1e-10,0.0006212425725450903,-42.35980739173755,6.218352910827286
1e-10,0.0006312626124248497,-42.36780756113325,6.21963931931632
1e-10,0.0006412826523046093,-42.37568173837972,6.220905208800286
1e-10,0.0006513026921843688,-42.38343383044818,6.222151219716172
1e-10,0.0006613227320641283,-42.391067565350404,6.223377963037429
1e-10,0.0006713427719438878,-42.39858650290422,6.2245860220521925
1e-10,0.0006813628118236474,-42.40599404470154,6.225775954009441
1e-10,0.0006913828517034068,-42.41329344334861,6.226948291644655
1e-10,0.0007014028915831664,-42.420487811041525,6.228103544595428
1e-10,0.0007114229314629259,-42.42758012753348,6.229242200716396
1e-10,0.0007214429713426854,-42.43457324754472,6.230364727301967
1e-10,0.000731463011222445,-42.44146990766149,6.231471572224499
1e-10,0.0007414830511022044,-42.44827273276565,6.232563164994831
1e-10,0.000751503090981964,-42.45498424203262,6.233639917751452
1e-10,0.0007615231308617235,-42.46160685453219,6.2347022261839795
1e-10,0.000771543170741483,-42.46814289446317,6.23575047039612
1e-10,0.0007815632106212425,-42.47459459605029,6.236785015712796
1e-10,0.0007915832505010021,-42.4809641081292,6.237806213435737
1e-10,0.0008016032903807616,-42.487253498443074,6.238814401551407
1e-10,0.0008116233302605211,-42.49346475767229,6.239809905394849
1e-10,0.0008216433701402807,-42.499599803216924,6.240793038272694
1e-10,0.0008316634100200401,-42.50566048274992,6.2417641020483074
1e-10,0.0008416834498997997,-42.51164857755755,6.2427233876918
1e-10,0.0008517034897795591,-42.517565805682175,6.243671175797412
1e-10,0.0008617235296593187,-42.523413824881146,6.24460773707055
1e-10,0.0008717435695390782,-42.52919423541475,6.245533332786607
1e-10,0.0008817636094188377,-42.53490858267479,6.246448215223484
1e-10,0.0008917836492985973,-42.540558359664615,6.247352628069615
1e-10,0.0009018036891783568,-42.54614500934071,6.2482468068091315
1e-10,0.0009118237290581163,-42.55166992682473,6.249130979085695
1e-10,0.0009218437689378758,-42.55713446149478,6.250005365046389
1e-10,0.0009318638088176354,-42.56253991896368,6.2508701776669815
1e-10,0.0009418838486973948,-42.56788756295124,6.25172562305973
