mean,var,M1_final,M2_final
1e-10,0.0009418838486973948,2.310151240835399e-106,1.0
1e-10,0.0009519038885771544,2.3101509832085088e-106,1.0
1e-10,0.0009619239284569139,2.31015085005829e-106,1.0
1e-10,0.0009719439683366734,2.3101508499813614e-106,1.0
1e-10,0.0009819640082164328,2.3101509766764628e-106,1.0
1e-10,0.0009919840480961924,2.3101508746677877e-106,1.0
1e-10,0.001002004087975952,2.310150852239393e-106,1.0
1e-10,0.0010120241278557115,2.3101508822725794e-106,1.0
1e-10,0.001022044167735471,2.3101508512946875e-106,1.0
1e-10,0.0010320642076152304,2.3101509172917514e-106,1.0
1e-10,0.00104208424749499,2.3101508761300077e-106,1.0
1e-10,0.0010521042873747495,2.310150872884277e-106,1.0
1e-10,0.001062124327254509,2.310150855748653e-106,1.0
1e-10,0.0010721443671342687,2.3101508961257057e-106,1.0
1e-10,0.0010821644070140282,2.3101508483635305e-106,1.0
1e-10,0.0010921844468937876,2.310150903880542e-106,1.0
1e-10,0.0011022044867735471,2.310150885242136e-106,1.0
1e-10,0.0011122245266533067,2.310150896597001e-106,1.0
1e-10,0.0011222445665330662,2.310150858305265e-106,1.0
1e-10,0.0011322646064128258,2.310150878888076e-106,1.0
1e-10,0.0011422846462925853,2.3101514532862113e-106,1.0
1e-10,0.0011523046861723447,2.310150849690496e-106,1.0
1e-10,0.0011623247260521042,2.3101508518394325e-106,1.0
1e-10,0.0011723447659318638,2.3101508476654464e-106,1.0
1e-10,0.0011823648058116234,2.310150856221465e-106,1.0
1e-10,0.001192384845691383,2.310150897913817e-106,1.0
1e-10,0.0012024048855711423,2.3101508611519385e-106,1.0
1e-10,0.0012124249254509018,2.3101509275974625e-106,1.0
1e-10,0.0012224449653306614,2.3101508505077226e-106,1.0
1e-10,0.001232465005210421,2.3101508509384977e-106,1.0
1e-10,0.0012424850450901805,2.310150853309085e-106,1.0
1e-10,0.00125250508496994,2.3101508513090674e-106,1.0
1e-10,0.0012625251248496994,2.310150848691623e-106,1.0
1e-10,0.001272545164729459,2.310150848552343e-106,1.0
1e-10,0.0012825652046092185,2.31015085242836e-106,1.0
1e-10,0.001292585244488978,2.310150849076237e-106,1.0
1e-10,0.0013026052843687376,2.310150848312726e-106,1.0
1e-10,0.001312625324248497,2.310150851371362e-106,1.0
1e-10,0.0013226453641282565,2.3101508622145525e-106,1.0
1e-10,0.001332665404008016,2.310150850403213e-106,1.0
1e-10,0.0013426854438877756,2.3101508703309035e-106,1.0
1e-10,0.0013527054837675352,2.3101508548039994e-106,1.0
1e-10,0.0013627255236472948,2.310150849213871e-106,1.0
1e-10,0.001372745563527054,2.3101508675660515e-106,1.0
1e-10,0.0013827656034068137,2.310150847292817e-106,1.0
1e-10,0.0013927856432865732,2.3101532385237033e-106,1.0
1e-10,0.0014028056831663328,2.310150848805697e-106,1.0
1e-10,0.0014128257230460923,2.310150867186014e-106,1.0
1e-10,0.0014228457629258517,2.3101508540166985e-106,1.0
1e-10,0.0014328658028056112,2.310150849309715e-106,1.0
1e-10,0.0014428858426853708,2.31015084810437e-106,1.0
1e-10,0.0014529058825651303,2.3101508503490597e-106,1.0
1e-10,0.00146292592244489,2.3101508719442693e-106,1.0
1e-10,0.0014729459623246495,2.310150850621166e-106,1.0
1e-10,0.0014829660022044088,2.310150850710468e-106,1.0
1e-10,0.0014929860420841684,2.3101508476064755e-106,1.0
1e-10,0.001503006081963928,2.3101508656359284e-106,1.0
1e-10,0.0015130261218436875,2.310150871945672e-106,1.0
1e-10,0.001523046161723447,2.310150847373762e-106,1.0
1e-10,0.0015330662016032066,2.310150861423057e-106,1.0
1e-10,0.001543086241482966,2.3101508503547683e-106,1.0
1e-10,0.0015531062813627255,2.3101508537236614e-106,1.0
1e-10,0.001563126321242485,2.3101509627802253e-106,1.0
1e-10,0.0015731463611222446,2.3101508675831354e-106,1.0
1e-10,0.0015831664010020042,2.3101508484113153e-106,1.0
1e-10,0.0015931864408817635,2.3101508529424643e-106,1.0
1e-10,0.001603206480761523,2.31015085371843e-106,1.0
